rank,college_name,early_careerr,mid_career
441 (tie),St. Lawrence University,"$51,000.00","$75,400.00"
444,California State University - Fresno (Fresno State),"$45,100.00","$75,300.00"
445 (tie),Lewis University,"$44,700.00","$75,200.00"
445 (tie),Northern Arizona University (NAU),"$44,400.00","$75,200.00"
445 (tie),Pittsburg State University,"$42,000.00","$75,200.00"
445 (tie),Purdue University - Calumet Campus,"$43,200.00","$75,200.00"
445 (tie),University of Pittsburgh - Johnstown Campus,"$45,500.00","$75,200.00"
450 (tie),Hope College,"$41,400.00","$75,100.00"
450 (tie),Walsh University - Ohio,"$40,200.00","$75,100.00"
452 (tie),Augsburg College,"$45,200.00","$75,000.00"
452 (tie),Texas A&M University - Corpus Christi Campus,"$42,700.00","$75,000.00"
454 (tie),Arkansas State University (ASU),"$41,100.00","$74,900.00"
454 (tie),Bloomfield College,"$40,800.00","$74,900.00"
454 (tie),California State University - San Bernardino (CSUSB),"$40,700.00","$74,900.00"
454 (tie),Lynchburg College,"$41,900.00","$74,900.00"
454 (tie),Notre Dame de Namur University (NDNU),"$47,900.00","$74,900.00"
454 (tie),"Sacred Heart University - Fairfield, CT","$50,500.00","$74,900.00"
454 (tie),University of Findlay,"$48,800.00","$74,900.00"
454 (tie),University of Nebraska at Omaha,"$42,500.00","$74,900.00"
454 (tie),University of New Orleans (UNO),"$47,700.00","$74,900.00"
463 (tie),Berklee College of Music,"$38,500.00","$74,800.00"
463 (tie),Embry-Riddle Aeronautical University (ERAU) Worldwide,"$56,500.00","$74,800.00"
463 (tie),Florida International University (FIU),"$42,900.00","$74,800.00"
466 (tie),McKendree University,"$44,400.00","$74,700.00"
466 (tie),Midwestern State University (MSU),"$47,400.00","$74,700.00"
466 (tie),Saint Louis University (SLU),"$46,800.00","$74,700.00"
466 (tie),University of Colorado at Colorado Springs,"$46,400.00","$74,700.00"
466 (tie),University of Texas at El Paso (UTEP),"$40,600.00","$74,700.00"
471 (tie),National Louis University,"$44,100.00","$74,600.00"
471 (tie),Old Dominion University,"$45,200.00","$74,600.00"
471 (tie),Xavier University,"$46,100.00","$74,600.00"
474 (tie),SUNY - Purchase College,"$43,200.00","$74,500.00"
474 (tie),Southwestern Oklahoma State University,"$39,200.00","$74,500.00"
474 (tie),Texas State University - San Marcos Campus,"$45,400.00","$74,500.00"
474 (tie),Towson University,"$44,500.00","$74,500.00"
474 (tie),Western Governors University (WGU),"$51,600.00","$74,500.00"
479 (tie),Linfield College,"$44,400.00","$74,400.00"
479 (tie),Moravian College and Moravian Theological Seminary,"$48,700.00","$74,400.00"
479 (tie),"Regis University - Denver, CO","$51,800.00","$74,400.00"
479 (tie),Wichita State University,"$44,000.00","$74,400.00"
483 (tie),Hampton University,"$42,800.00","$74,300.00"
483 (tie),Truman State University,"$39,700.00","$74,300.00"
483 (tie),University of Wisconsin (UW) - La Crosse Campus,"$42,700.00","$74,300.00"
486 (tie),"Augustana College - Rock Island, IL","$39,900.00","$74,200.00"
486 (tie),Birmingham Southern College,"$40,200.00","$74,200.00"
486 (tie),University of Northern Colorado,"$41,500.00","$74,200.00"
489 (tie),Albright College,"$47,900.00","$74,100.00"
489 (tie),Portland State University (PSU),"$45,400.00","$74,100.00"
489 (tie),"St. John Fisher College - Rochester, NY","$40,000.00","$74,100.00"
492 (tie),Calvin College,"$43,600.00","$74,000.00"
492 (tie),Central Connecticut State University,"$48,000.00","$74,000.00"
492 (tie),Kennesaw State University,"$43,800.00","$74,000.00"
492 (tie),Muhlenberg College,"$48,900.00","$74,000.00"
492 (tie),St. Xavier University,"$43,400.00","$74,000.00"
492 (tie),University of Nevada - Reno (UNR),"$47,400.00","$74,000.00"
498 (tie),CUNY - Hunter College,"$45,700.00","$73,900.00"
498 (tie),"Cameron University - Lawton, OK","$39,800.00","$73,900.00"
