Rank,CollegeTYpe,College Type,Early Career,Mid Career
181 (tie),University of Washington - Tacoma Campus,State School,"$50,300.00","$87,500.00"
[object Object],State School,,,
,,,,
185 (tie),Pratt Institute,"Private School, Arts, Music & Design School","$48,300.00","$87,400.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
185 (tie),"St. John's University - Queens, NY","Private School, Religious, For Sports Fans","$48,500.00","$87,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
187,Clemson University,"State School, Research University, For Sports Fans","$54,100.00","$87,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
